id;custorderid;custid;custorddesc;custordcost;custordpaid
1;784dc516-041d-4795-ab82-f6476b9cfc47;e34d06b5-677c-4c55-8eef-0822988de899;Armenia redundant;60757;96763
2;576c27f6-4b94-47f2-b787-a3e74c607e74;fb55e4bd-fabe-46d1-93a2-a0bb03e869ba;24/365;74960;35275
3;7100fb58-547d-438d-ac49-c3d4569aad7d;2397cf53-c652-49c8-80a4-a20078ae12aa;Metrics haptic;7537;15051
4;17ca9c21-84be-478c-a5dc-1b07d7ddb788;6c9fcfd4-6e04-4c3a-90cc-41ec32f6ece8;Human;23850;77802
5;25276a5c-af38-42cc-bcac-3b5dec8e13a5;4ff4b158-3b5d-487e-890c-a673a5e49be8;bypassing;27545;85339
6;31fe4fbf-bc94-4c93-b63b-e08f0db24ed2;d59b4523-859e-46b9-b9ec-da5429d0be50;Democratic People's Republic of Korea killer;59088;37625
7;49de2b6e-0ac6-4f9b-94d8-b7abd59b7f02;fe6655e5-7fb6-41bc-b5fc-04405354fee7;contextually-based asymmetric deposit;70239;99808
8;f6c7719e-a29d-4457-9839-08aff82ccef4;08b407bc-d40b-4f91-a91f-c69d3e1f2215;Steel;2276;31723
9;1bee4844-b296-496c-859d-e2f1ffef8533;ac894064-7481-49b7-a892-1695f4918ca9;Central African Republic;37734;88728
10;4718a94c-7052-446e-babe-c49981e028a8;8709f6f2-fa14-4d7c-852b-7ee963925698;Implementation;26455;15378
